Year,StockKeyLabel,FisheriesGuild,Purpose,F,SSB,fishingPressureDescription,stockSizeDescription,landings,catches,discards,AssessmentYear,Flim,Fpa,Bpa,Blim,FMSY,MSYBtrigger
1988,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,14096,NA,NA,2019,NA,NA,NA,NA,NA,NA
1989,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,12176,NA,NA,2019,NA,NA,NA,NA,NA,NA
1990,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,11441,NA,NA,2019,NA,NA,NA,NA,NA,NA
1991,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,10295,NA,NA,2019,NA,NA,NA,NA,NA,NA
1992,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,12668,NA,NA,2019,NA,NA,NA,NA,NA,NA
1993,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,11188,NA,NA,2019,NA,NA,NA,NA,NA,NA
1994,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,7953,NA,NA,2019,NA,NA,NA,NA,NA,NA
1995,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,7857,NA,NA,2019,NA,NA,NA,NA,NA,NA
1996,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,8263,NA,NA,2019,NA,NA,NA,NA,NA,NA
1997,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,7165,NA,NA,2019,NA,NA,NA,NA,NA,NA
1998,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,10277,NA,NA,2019,NA,NA,NA,NA,NA,NA
1999,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,8596,NA,NA,2019,NA,NA,NA,NA,NA,NA
2000,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,7654,NA,NA,2019,NA,NA,NA,NA,NA,NA
2001,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,16549,NA,NA,2019,NA,NA,NA,NA,NA,NA
2002,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,8672,NA,NA,2019,NA,NA,NA,NA,NA,NA
2003,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,9969,NA,NA,2019,NA,NA,NA,NA,NA,NA
2004,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,16817,NA,NA,2019,NA,NA,NA,NA,NA,NA
2005,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,17595,NA,NA,2019,NA,NA,NA,NA,NA,NA
2006,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,25496,NA,NA,2019,NA,NA,NA,NA,NA,NA
2007,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,16374,NA,NA,2019,NA,NA,NA,NA,NA,NA
2008,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,13424,NA,NA,2019,NA,NA,NA,NA,NA,NA
2009,aru.27.123a4,pelagic,Advice,NA,216783,F,B_index,13495,NA,NA,2019,NA,NA,NA,NA,NA,NA
2010,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,12898,NA,NA,2019,NA,NA,NA,NA,NA,NA
2011,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,12064,NA,NA,2019,NA,NA,NA,NA,NA,NA
2012,aru.27.123a4,pelagic,Advice,NA,177897,F,B_index,12485,NA,NA,2019,NA,NA,NA,NA,NA,NA
2013,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,13229,NA,NA,2019,NA,NA,NA,NA,NA,NA
2014,aru.27.123a4,pelagic,Advice,NA,328143,F,B_index,15062,NA,NA,2019,NA,NA,NA,NA,NA,NA
2015,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,15236,NA,NA,2019,NA,NA,NA,NA,NA,NA
2016,aru.27.123a4,pelagic,Advice,NA,571561,F,B_index,18893,NA,NA,2019,NA,NA,NA,NA,NA,NA
2017,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,17835,NA,NA,2019,NA,NA,NA,NA,NA,NA
2018,aru.27.123a4,pelagic,Advice,NA,301611,F,B_index,23859,NA,NA,2019,NA,NA,NA,NA,NA,NA
1972,cap.27.1-2,pelagic,Advice,NA,2727000,F,SSB,1591000,1591000,NA,2019,NA,NA,NA,2e+05,NA,NA
1973,cap.27.1-2,pelagic,Advice,NA,1350000,F,SSB,1337000,1337000,NA,2019,NA,NA,NA,2e+05,NA,NA
1974,cap.27.1-2,pelagic,Advice,NA,907000,F,SSB,1148000,1148000,NA,2019,NA,NA,NA,2e+05,NA,NA
1975,cap.27.1-2,pelagic,Advice,NA,2916000,F,SSB,1441000,1441000,NA,2019,NA,NA,NA,2e+05,NA,NA
1976,cap.27.1-2,pelagic,Advice,NA,3200000,F,SSB,2587000,2587000,NA,2019,NA,NA,NA,2e+05,NA,NA
1977,cap.27.1-2,pelagic,Advice,NA,2676000,F,SSB,2986000,2986000,NA,2019,NA,NA,NA,2e+05,NA,NA
1978,cap.27.1-2,pelagic,Advice,NA,1402000,F,SSB,1916000,1916000,NA,2019,NA,NA,NA,2e+05,NA,NA
1979,cap.27.1-2,pelagic,Advice,NA,1227000,F,SSB,1782000,1782000,NA,2019,NA,NA,NA,2e+05,NA,NA
1980,cap.27.1-2,pelagic,Advice,NA,3913000,F,SSB,1648000,1648000,NA,2019,NA,NA,NA,2e+05,NA,NA
1981,cap.27.1-2,pelagic,Advice,NA,1551000,F,SSB,1986000,1986000,NA,2019,NA,NA,NA,2e+05,NA,NA
1982,cap.27.1-2,pelagic,Advice,NA,1591000,F,SSB,1760000,1760000,NA,2019,NA,NA,NA,2e+05,NA,NA
1983,cap.27.1-2,pelagic,Advice,NA,1329000,F,SSB,2357000,2357000,NA,2019,NA,NA,NA,2e+05,NA,NA
1984,cap.27.1-2,pelagic,Advice,NA,1208000,F,SSB,1477000,1477000,NA,2019,NA,NA,NA,2e+05,NA,NA
1985,cap.27.1-2,pelagic,Advice,NA,285000,F,SSB,868000,868000,NA,2019,NA,NA,NA,2e+05,NA,NA
1986,cap.27.1-2,pelagic,Advice,NA,65000,F,SSB,123000,123000,NA,2019,NA,NA,NA,2e+05,NA,NA
1987,cap.27.1-2,pelagic,Advice,NA,17000,F,SSB,0,0,NA,2019,NA,NA,NA,2e+05,NA,NA
1988,cap.27.1-2,pelagic,Advice,NA,2e+05,F,SSB,0,0,NA,2019,NA,NA,NA,2e+05,NA,NA
1989,cap.27.1-2,pelagic,Advice,NA,175000,F,SSB,0,0,NA,2019,NA,NA,NA,2e+05,NA,NA
1990,cap.27.1-2,pelagic,Advice,NA,2617000,F,SSB,0,0,NA,2019,NA,NA,NA,2e+05,NA,NA
1991,cap.27.1-2,pelagic,Advice,NA,2248000,F,SSB,933000,933000,NA,2019,NA,NA,NA,2e+05,NA,NA
1992,cap.27.1-2,pelagic,Advice,NA,2228000,F,SSB,1123000,1123000,NA,2019,NA,NA,NA,2e+05,NA,NA
1993,cap.27.1-2,pelagic,Advice,NA,330000,F,SSB,586000,586000,NA,2019,NA,NA,NA,2e+05,NA,NA
1994,cap.27.1-2,pelagic,Advice,NA,94000,F,SSB,0,0,NA,2019,NA,NA,NA,2e+05,NA,NA
1995,cap.27.1-2,pelagic,Advice,NA,118000,F,SSB,0,0,NA,2019,NA,NA,NA,2e+05,NA,NA
1996,cap.27.1-2,pelagic,Advice,NA,248000,F,SSB,0,0,NA,2019,NA,NA,NA,2e+05,NA,NA
1997,cap.27.1-2,pelagic,Advice,NA,312000,F,SSB,1000,1000,NA,2019,NA,NA,NA,2e+05,NA,NA
1998,cap.27.1-2,pelagic,Advice,NA,932000,F,SSB,3000,3000,NA,2019,NA,NA,NA,2e+05,NA,NA
1999,cap.27.1-2,pelagic,Advice,NA,1718000,F,SSB,105000,105000,NA,2019,NA,NA,NA,2e+05,NA,NA
2000,cap.27.1-2,pelagic,Advice,NA,2098000,F,SSB,410000,410000,NA,2019,NA,NA,NA,2e+05,NA,NA
2001,cap.27.1-2,pelagic,Advice,NA,2019000,F,SSB,578000,578000,NA,2019,NA,NA,NA,2e+05,NA,NA
2002,cap.27.1-2,pelagic,Advice,NA,1291000,F,SSB,659000,659000,NA,2019,NA,NA,NA,2e+05,NA,NA
2003,cap.27.1-2,pelagic,Advice,NA,280000,F,SSB,282000,282000,NA,2019,NA,NA,NA,2e+05,NA,NA
2004,cap.27.1-2,pelagic,Advice,NA,294000,F,SSB,0,0,NA,2019,NA,NA,NA,2e+05,NA,NA
2005,cap.27.1-2,pelagic,Advice,NA,174000,F,SSB,1000,1000,NA,2019,NA,NA,NA,2e+05,NA,NA
2006,cap.27.1-2,pelagic,Advice,NA,437000,F,SSB,0,0,NA,2019,NA,NA,NA,2e+05,NA,NA
2007,cap.27.1-2,pelagic,Advice,NA,844000,F,SSB,4000,4000,NA,2019,NA,NA,NA,2e+05,NA,NA
2008,cap.27.1-2,pelagic,Advice,NA,2468000,F,SSB,12000,12000,NA,2019,NA,NA,NA,2e+05,NA,NA
2009,cap.27.1-2,pelagic,Advice,NA,2323000,F,SSB,307000,307000,NA,2019,NA,NA,NA,2e+05,NA,NA
2010,cap.27.1-2,pelagic,Advice,NA,2051000,F,SSB,323000,323000,NA,2019,NA,NA,NA,2e+05,NA,NA
2011,cap.27.1-2,pelagic,Advice,NA,2115000,F,SSB,360000,360000,NA,2019,NA,NA,NA,2e+05,NA,NA
2012,cap.27.1-2,pelagic,Advice,NA,1997000,F,SSB,296000,296000,NA,2019,NA,NA,NA,2e+05,NA,NA
2013,cap.27.1-2,pelagic,Advice,NA,1471000,F,SSB,177000,177000,NA,2019,NA,NA,NA,2e+05,NA,NA
2014,cap.27.1-2,pelagic,Advice,NA,873000,F,SSB,66000,66000,NA,2019,NA,NA,NA,2e+05,NA,NA
2015,cap.27.1-2,pelagic,Advice,NA,375000,F,SSB,115000,115000,NA,2019,NA,NA,NA,2e+05,NA,NA
2016,cap.27.1-2,pelagic,Advice,NA,181000,F,SSB,0,0,NA,2019,NA,NA,NA,2e+05,NA,NA
2017,cap.27.1-2,pelagic,Advice,NA,1723000,F,SSB,0,0,NA,2019,NA,NA,NA,2e+05,NA,NA
2018,cap.27.1-2,pelagic,Advice,NA,1056000,F,SSB,195000,195000,NA,2019,NA,NA,NA,2e+05,NA,NA
2019,cap.27.1-2,pelagic,Advice,NA,301615,F,SSB,0,0,NA,2019,NA,NA,NA,2e+05,NA,NA
2020,cap.27.1-2,pelagic,Advice,NA,NA,F,SSB,NA,NA,NA,2019,NA,NA,NA,2e+05,NA,NA
1946,cod.27.1-2,demersal,Advice,0.213,990849,F,SSB,706000,706000,NA,2019,0.74,0.4,460000,220000,0.4,460000
1947,cod.27.1-2,demersal,Advice,0.315,1021359,F,SSB,882017,882017,NA,2019,0.74,0.4,460000,220000,0.4,460000
1948,cod.27.1-2,demersal,Advice,0.314,837151,F,SSB,774295,774295,NA,2019,0.74,0.4,460000,220000,0.4,460000
1949,cod.27.1-2,demersal,Advice,0.364,624676,F,SSB,800122,800122,NA,2019,0.74,0.4,460000,220000,0.4,460000
1950,cod.27.1-2,demersal,Advice,0.375,561970,F,SSB,731982,731982,NA,2019,0.74,0.4,460000,220000,0.4,460000
1951,cod.27.1-2,demersal,Advice,0.426,511078,F,SSB,827180,827180,NA,2019,0.74,0.4,460000,220000,0.4,460000
1952,cod.27.1-2,demersal,Advice,0.52,499222,F,SSB,876795,876795,NA,2019,0.74,0.4,460000,220000,0.4,460000
1953,cod.27.1-2,demersal,Advice,0.395,396048,F,SSB,695546,695546,NA,2019,0.74,0.4,460000,220000,0.4,460000
1954,cod.27.1-2,demersal,Advice,0.416,409556,F,SSB,826021,826021,NA,2019,0.74,0.4,460000,220000,0.4,460000
1955,cod.27.1-2,demersal,Advice,0.502,331358,F,SSB,1147841,1147841,NA,2019,0.74,0.4,460000,220000,0.4,460000
1956,cod.27.1-2,demersal,Advice,0.613,284149,F,SSB,1343068,1343068,NA,2019,0.74,0.4,460000,220000,0.4,460000
1957,cod.27.1-2,demersal,Advice,0.525,206883,F,SSB,792557,792557,NA,2019,0.74,0.4,460000,220000,0.4,460000
1958,cod.27.1-2,demersal,Advice,0.527,204280,F,SSB,769313,769313,NA,2019,0.74,0.4,460000,220000,0.4,460000
1959,cod.27.1-2,demersal,Advice,0.532,442991,F,SSB,744607,744607,NA,2019,0.74,0.4,460000,220000,0.4,460000
1960,cod.27.1-2,demersal,Advice,0.512,402990,F,SSB,622042,622042,NA,2019,0.74,0.4,460000,220000,0.4,460000
1961,cod.27.1-2,demersal,Advice,0.647,406033,F,SSB,783221,783221,NA,2019,0.74,0.4,460000,220000,0.4,460000
1962,cod.27.1-2,demersal,Advice,0.758,320206,F,SSB,909266,909266,NA,2019,0.74,0.4,460000,220000,0.4,460000
1963,cod.27.1-2,demersal,Advice,0.874,214441,F,SSB,776337,776337,NA,2019,0.74,0.4,460000,220000,0.4,460000
1964,cod.27.1-2,demersal,Advice,0.675,192096,F,SSB,437695,437695,NA,2019,0.74,0.4,460000,220000,0.4,460000
1965,cod.27.1-2,demersal,Advice,0.555,106528,F,SSB,444930,444930,NA,2019,0.74,0.4,460000,220000,0.4,460000
1966,cod.27.1-2,demersal,Advice,0.506,121929,F,SSB,483711,483711,NA,2019,0.74,0.4,460000,220000,0.4,460000
1967,cod.27.1-2,demersal,Advice,0.536,133538,F,SSB,572605,572605,NA,2019,0.74,0.4,460000,220000,0.4,460000
1968,cod.27.1-2,demersal,Advice,0.579,228937,F,SSB,1074084,1074084,NA,2019,0.74,0.4,460000,220000,0.4,460000
1969,cod.27.1-2,demersal,Advice,0.759,151312,F,SSB,1197226,1197226,NA,2019,0.74,0.4,460000,220000,0.4,460000
1970,cod.27.1-2,demersal,Advice,0.697,230628,F,SSB,933246,933246,NA,2019,0.74,0.4,460000,220000,0.4,460000
1971,cod.27.1-2,demersal,Advice,0.585,319334,F,SSB,689048,689048,NA,2019,0.74,0.4,460000,220000,0.4,460000
1972,cod.27.1-2,demersal,Advice,0.691,365182,F,SSB,565254,565254,NA,2019,0.74,0.4,460000,220000,0.4,460000
1973,cod.27.1-2,demersal,Advice,0.607,324238,F,SSB,792685,792685,NA,2019,0.74,0.4,460000,220000,0.4,460000
1974,cod.27.1-2,demersal,Advice,0.635,159552,F,SSB,1102433,1102433,NA,2019,0.74,0.4,460000,220000,0.4,460000
1975,cod.27.1-2,demersal,Advice,0.635,130574,F,SSB,829377,829377,NA,2019,0.74,0.4,460000,220000,0.4,460000
1976,cod.27.1-2,demersal,Advice,0.659,167876,F,SSB,867463,867463,NA,2019,0.74,0.4,460000,220000,0.4,460000
1977,cod.27.1-2,demersal,Advice,0.806,352518,F,SSB,905301,905301,NA,2019,0.74,0.4,460000,220000,0.4,460000
1978,cod.27.1-2,demersal,Advice,0.971,234824,F,SSB,698715,698715,NA,2019,0.74,0.4,460000,220000,0.4,460000
1979,cod.27.1-2,demersal,Advice,0.782,165128,F,SSB,440538,440538,NA,2019,0.74,0.4,460000,220000,0.4,460000
1980,cod.27.1-2,demersal,Advice,0.776,102622,F,SSB,380434,380434,NA,2019,0.74,0.4,460000,220000,0.4,460000
1981,cod.27.1-2,demersal,Advice,0.765,151677,F,SSB,399038,399038,NA,2019,0.74,0.4,460000,220000,0.4,460000
1982,cod.27.1-2,demersal,Advice,0.814,310238,F,SSB,363730,363730,NA,2019,0.74,0.4,460000,220000,0.4,460000
1983,cod.27.1-2,demersal,Advice,0.776,281458,F,SSB,289992,289992,NA,2019,0.74,0.4,460000,220000,0.4,460000
1984,cod.27.1-2,demersal,Advice,0.887,227619,F,SSB,277651,277651,NA,2019,0.74,0.4,460000,220000,0.4,460000
1985,cod.27.1-2,demersal,Advice,0.789,187504,F,SSB,307920,307920,NA,2019,0.74,0.4,460000,220000,0.4,460000
1986,cod.27.1-2,demersal,Advice,0.904,162209,F,SSB,430113,430113,NA,2019,0.74,0.4,460000,220000,0.4,460000
1987,cod.27.1-2,demersal,Advice,1.02,110255,F,SSB,523071,523071,NA,2019,0.74,0.4,460000,220000,0.4,460000
1988,cod.27.1-2,demersal,Advice,0.954,179367,F,SSB,434939,434939,NA,2019,0.74,0.4,460000,220000,0.4,460000
1989,cod.27.1-2,demersal,Advice,0.649,234248,F,SSB,332481,332481,NA,2019,0.74,0.4,460000,220000,0.4,460000
1990,cod.27.1-2,demersal,Advice,0.368,331888,F,SSB,212000,212000,NA,2019,0.74,0.4,460000,220000,0.4,460000
1991,cod.27.1-2,demersal,Advice,0.317,706539,F,SSB,319158,319158,NA,2019,0.74,0.4,460000,220000,0.4,460000
1992,cod.27.1-2,demersal,Advice,0.448,908683,F,SSB,513234,513234,NA,2019,0.74,0.4,460000,220000,0.4,460000
1993,cod.27.1-2,demersal,Advice,0.577,775845,F,SSB,581611,581611,NA,2019,0.74,0.4,460000,220000,0.4,460000
1994,cod.27.1-2,demersal,Advice,0.797,591364,F,SSB,771086,771086,NA,2019,0.74,0.4,460000,220000,0.4,460000
1995,cod.27.1-2,demersal,Advice,0.782,523318,F,SSB,739999,739999,NA,2019,0.74,0.4,460000,220000,0.4,460000
1996,cod.27.1-2,demersal,Advice,0.766,546404,F,SSB,732228,732228,NA,2019,0.74,0.4,460000,220000,0.4,460000
1997,cod.27.1-2,demersal,Advice,0.947,544203,F,SSB,762403,762403,NA,2019,0.74,0.4,460000,220000,0.4,460000
1998,cod.27.1-2,demersal,Advice,0.96,377854,F,SSB,592624,592624,NA,2019,0.74,0.4,460000,220000,0.4,460000
1999,cod.27.1-2,demersal,Advice,0.96,283058,F,SSB,484910,484910,NA,2019,0.74,0.4,460000,220000,0.4,460000
2000,cod.27.1-2,demersal,Advice,0.823,239037,F,SSB,414868,414868,NA,2019,0.74,0.4,460000,220000,0.4,460000
2001,cod.27.1-2,demersal,Advice,0.707,363501,F,SSB,426471,426471,NA,2019,0.74,0.4,460000,220000,0.4,460000
2002,cod.27.1-2,demersal,Advice,0.655,505998,F,SSB,535045,535045,NA,2019,0.74,0.4,460000,220000,0.4,460000
2003,cod.27.1-2,demersal,Advice,0.576,595218,F,SSB,551990,551990,NA,2019,0.74,0.4,460000,220000,0.4,460000
2004,cod.27.1-2,demersal,Advice,0.72,709114,F,SSB,606445,606445,NA,2019,0.74,0.4,460000,220000,0.4,460000
2005,cod.27.1-2,demersal,Advice,0.72,615647,F,SSB,641276,641276,NA,2019,0.74,0.4,460000,220000,0.4,460000
2006,cod.27.1-2,demersal,Advice,0.659,602187,F,SSB,537642,537642,NA,2019,0.74,0.4,460000,220000,0.4,460000
2007,cod.27.1-2,demersal,Advice,0.453,653169,F,SSB,486883,486883,NA,2019,0.74,0.4,460000,220000,0.4,460000
2008,cod.27.1-2,demersal,Advice,0.319,688680,F,SSB,464171,464171,NA,2019,0.74,0.4,460000,220000,0.4,460000
2009,cod.27.1-2,demersal,Advice,0.272,1099774,F,SSB,523430,523430,NA,2019,0.74,0.4,460000,220000,0.4,460000
2010,cod.27.1-2,demersal,Advice,0.277,1398250,F,SSB,609983,609983,NA,2019,0.74,0.4,460000,220000,0.4,460000
2011,cod.27.1-2,demersal,Advice,0.268,2012786,F,SSB,719830,719830,NA,2019,0.74,0.4,460000,220000,0.4,460000
2012,cod.27.1-2,demersal,Advice,0.243,2334475,F,SSB,727663,727663,NA,2019,0.74,0.4,460000,220000,0.4,460000
2013,cod.27.1-2,demersal,Advice,0.271,2645872,F,SSB,966209,966209,NA,2019,0.74,0.4,460000,220000,0.4,460000
2014,cod.27.1-2,demersal,Advice,0.299,2507946,F,SSB,986449,986449,NA,2019,0.74,0.4,460000,220000,0.4,460000
2015,cod.27.1-2,demersal,Advice,0.318,2071319,F,SSB,864384,864384,NA,2019,0.74,0.4,460000,220000,0.4,460000
2016,cod.27.1-2,demersal,Advice,0.33,1700333,F,SSB,849422,849422,NA,2019,0.74,0.4,460000,220000,0.4,460000
2017,cod.27.1-2,demersal,Advice,0.387,1821497,F,SSB,868276,868276,NA,2019,0.74,0.4,460000,220000,0.4,460000
2018,cod.27.1-2,demersal,Advice,0.422,1525907,F,SSB,778627,778627,NA,2019,0.74,0.4,460000,220000,0.4,460000
2019,cod.27.1-2,demersal,Advice,NA,1495633,F,SSB,NA,NA,NA,2019,0.74,0.4,460000,220000,0.4,460000
1984,cod.27.1-2coast,demersal,Advice,0.618,NA,F,B_index,63818,NA,NA,2019,NA,NA,NA,NA,NA,NA
1985,cod.27.1-2coast,demersal,Advice,0.523,NA,F,B_index,62954,NA,NA,2019,NA,NA,NA,NA,NA,NA
1986,cod.27.1-2coast,demersal,Advice,0.589,NA,F,B_index,56107,NA,NA,2019,NA,NA,NA,NA,NA,NA
1987,cod.27.1-2coast,demersal,Advice,0.506,NA,F,B_index,48274,NA,NA,2019,NA,NA,NA,NA,NA,NA
1988,cod.27.1-2coast,demersal,Advice,0.633,NA,F,B_index,55065,NA,NA,2019,NA,NA,NA,NA,NA,NA
1989,cod.27.1-2coast,demersal,Advice,0.382,NA,F,B_index,41242,NA,NA,2019,NA,NA,NA,NA,NA,NA
1990,cod.27.1-2coast,demersal,Advice,0.235,NA,F,B_index,20920,NA,NA,2019,NA,NA,NA,NA,NA,NA
1991,cod.27.1-2coast,demersal,Advice,0.192,NA,F,B_index,24837,NA,NA,2019,NA,NA,NA,NA,NA,NA
1992,cod.27.1-2coast,demersal,Advice,0.246,NA,F,B_index,38195,NA,NA,2019,NA,NA,NA,NA,NA,NA
1993,cod.27.1-2coast,demersal,Advice,0.232,NA,F,B_index,50420,NA,NA,2019,NA,NA,NA,NA,NA,NA
1994,cod.27.1-2coast,demersal,Advice,0.235,NA,F,B_index,51664,NA,NA,2019,NA,NA,NA,NA,NA,NA
1995,cod.27.1-2coast,demersal,Advice,0.292,74992,F,B_index,64964,NA,NA,2019,NA,NA,NA,NA,NA,NA
1996,cod.27.1-2coast,demersal,Advice,0.357,56237,F,B_index,41672,NA,NA,2019,NA,NA,NA,NA,NA,NA
1997,cod.27.1-2coast,demersal,Advice,0.384,73660,F,B_index,51123,NA,NA,2019,NA,NA,NA,NA,NA,NA
